------------------------------
Process Logger :Tue Nov 29 04:24:45 2022
------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 9104, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'QuickLook.exe'}
{'pid': 9300, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedge.exe'}
{'pid': 9548, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 9860, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'python.exe'}
{'pid': 10196, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 10220, 'username': None, 'name': 'svchost.exe'}
{'pid': 10276, 'username': None, 'name': 'TiWorker.exe'}
{'pid': 10296, 'username': None, 'name': 'winlogon.exe'}
{'pid': 10780, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 10924, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 11260, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 11384, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 11664, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 11700, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'python3.10.exe'}
{'pid': 11808, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'RuntimeBroker.exe'}
{'pid': 12088, 'username': None, 'name': 'svchost.exe'}
{'pid': 12100, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'msedgewebview2.exe'}
{'pid': 12136, 'username': None, 'name': 'svchost.exe'}
{'pid': 12188, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'helper.exe'}
{'pid': 12540, 'username': None, 'name': 'svchost.exe'}
{'pid': 12596, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'ctfmon.exe'}
{'pid': 12600, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 12748, 'username': None, 'name': 'svchost.exe'}
{'pid': 13176, 'username': None, 'name': 'MoUsoCoreWorker.exe'}
{'pid': 13188, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'conhost.exe'}
{'pid': 13452, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 13544, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'svchost.exe'}
{'pid': 13564, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'sihost.exe'}
{'pid': 13668, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 13788, 'username': None, 'name': 'svchost.exe'}
{'pid': 13800, 'username': None, 'name': 'svchost.exe'}
{'pid': 14124, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 14172, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'cmd.exe'}
{'pid': 14188, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 14196, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 14244, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'RuntimeBroker.exe'}
{'pid': 14440, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'Code.exe'}
{'pid': 14576, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'GoogleDriveFS.exe'}
{'pid': 14636, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
{'pid': 14656, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'explorer.exe'}
{'pid': 14780, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SearchApp.exe'}
{'pid': 15228, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SystemSettingsBroker.exe'}
{'pid': 15424, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'SearchApp.exe'}
{'pid': 15656, 'username': None, 'name': 'svchost.exe'}
{'pid': 15668, 'username': 'DESKTOP-9DEGUJ6\\Admin', 'name': 'chrome.exe'}
